"filename", "language", "JavaScript", "JavaScript JSX", "PostCSS", "XML", "Markdown", "JSON", "Docker", "HTML", "comment", "blank", "total"
"e:\diploma\frontend\src\pages\UpdatePointPage.jsx", "JavaScript JSX", 0, 100, 0, 0, 0, 0, 0, 0, 0, 10, 110
"e:\diploma\frontend\src\pages\UpdateSecretKeyPage.jsx", "JavaScript JSX", 0, 72, 0, 0, 0, 0, 0, 0, 0, 8, 80
"e:\diploma\frontend\src\redux\features\alldiscount\alldiscountSlice.js", "JavaScript", 176, 0, 0, 0, 0, 0, 0, 0, 7, 16, 199
"e:\diploma\frontend\src\redux\features\articles\articleSlice.js", "JavaScript", 157, 0, 0, 0, 0, 0, 0, 0, 5, 14, 176
"e:\diploma\frontend\src\redux\features\auth\authSlice.js", "JavaScript", 113, 0, 0, 0, 0, 0, 0, 0, 3, 11, 127
"e:\diploma\frontend\src\redux\features\comment\commentSlice.js", "JavaScript", 97, 0, 0, 0, 0, 0, 0, 0, 3, 10, 110
"e:\diploma\frontend\src\redux\features\discount\discountSlice.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 1, 5, 47
"e:\diploma\frontend\src\redux\features\mark\markSlice.js", "JavaScript", 121, 0, 0, 0, 0, 0, 0, 0, 8, 12, 141
"e:\diploma\frontend\src\redux\features\point\pointSlice.js", "JavaScript", 158, 0, 0, 0, 0, 0, 0, 0, 13, 14, 185
"e:\diploma\frontend\src\redux\features\point_mark\point_markSlice.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 0, 1, 5, 45
"e:\diploma\frontend\src\redux\features\promo_code\promo_codeSlice.js", "JavaScript", 68, 0, 0, 0, 0, 0, 0, 0, 7, 7, 82
"e:\diploma\frontend\src\redux\features\reception\receptionSlice.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 0, 3, 5, 51
"e:\diploma\frontend\src\redux\features\secretkey\secretkeySlice.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 0, 4, 5, 56
"e:\diploma\frontend\src\redux\features\user\userSlice.js", "JavaScript", 116, 0, 0, 0, 0, 0, 0, 0, 4, 11, 131
"e:\diploma\frontend\src\redux\features\weight\weightSlice.js", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 0, 3, 5, 54
"e:\diploma\frontend\src\redux\store.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 1, 32
"e:\diploma\frontend\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"e:\diploma\frontend\src\setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 4, 1, 6
"e:\diploma\frontend\src\utils\axios.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"e:\diploma\frontend\tailwind.config.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 2, 0, 21
"Total", "-", -949, 3812, 99, 325, 38, 17393, 0, 20, -1422, 153, 19469
